startup,industry,subvertical,city,investors,round,amount,date,year,month
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,3.07,2024-07-19,2024,7
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,12.16,2023-06-20,2023,6
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,121.39,2021-09-17,2021,9
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,0.55,2020-06-15,2020,6
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,120.16,2023-05-01,2023,5
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,0.42,2024-06-01,2024,6
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,0.07,2024-08-19,2024,8
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,42.14,2023-03-11,2023,3
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,8.4,2022-10-21,2022,10
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,56.29,2020-02-22,2020,2
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,0.89,2024-03-28,2024,3
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,67.01,2024-07-25,2024,7
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,492.15,2021-11-06,2021,11
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,1.56,2021-05-31,2021,5
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,11.36,2020-04-21,2020,4
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,10.02,2023-01-29,2023,1
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,0.7,2023-07-14,2023,7
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,1.4,2024-09-19,2024,9
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,0.05,2021-08-20,2021,8
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,1.3,2021-01-25,2021,1
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,0.11,2022-11-05,2022,11
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,77.31,2022-09-29,2022,9
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,46.65,2021-10-21,2021,10
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,10.95,2022-08-26,2022,8
WorkPay,FinTech,Lending,Noida,IFC,Bridge,2.37,2021-11-10,2021,11
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,0.22,2020-10-22,2020,10
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,57.27,2022-03-25,2022,3
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,3090.33,2020-03-14,2020,3
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,3.29,2024-04-06,2024,4
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,1339.17,2021-08-23,2021,8
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,2.56,2020-06-10,2020,6
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,34.19,2021-06-04,2021,6
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,2.01,2022-06-23,2022,6
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,8.89,2021-09-10,2021,9
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,11.11,2023-12-03,2023,12
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,0.04,2024-03-06,2024,3
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,46.51,2023-10-20,2023,10
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,1.32,2022-06-21,2022,6
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,2.71,2020-09-27,2020,9
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,0.63,2025-04-17,2025,4
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,326.06,2021-04-07,2021,4
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,1.88,2020-09-10,2020,9
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,6.74,2021-04-23,2021,4
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,0.08,2021-09-10,2021,9
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,0.55,2023-01-05,2023,1
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,1.62,2024-02-29,2024,2
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,0.76,2022-06-29,2022,6
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,0.67,2023-08-13,2023,8
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,390.05,2023-08-07,2023,8
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,4.29,2024-04-16,2024,4
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,1.24,2024-10-24,2024,10
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,1.05,2024-06-05,2024,6
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,0.83,2022-05-12,2022,5
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,93.07,2021-03-29,2021,3
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,3.04,2022-09-07,2022,9
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,73.91,2020-05-14,2020,5
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,93.96,2023-05-24,2023,5
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,392.75,2022-03-27,2022,3
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,0.62,2024-08-30,2024,8
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,307.74,2023-02-13,2023,2
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,1281.06,2024-01-16,2024,1
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,8.48,2022-09-14,2022,9
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,85.38,2024-07-11,2024,7
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,0.17,2021-07-13,2021,7
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,2.73,2024-02-26,2024,2
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,1.93,2021-10-26,2021,10
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,0.94,2023-09-17,2023,9
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,1.1,2021-08-03,2021,8
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,1.44,2025-04-20,2025,4
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,566.79,2020-12-25,2020,12
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,1.37,2024-10-30,2024,10
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,2.81,2022-04-09,2022,4
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,2094.44,2025-02-26,2025,2
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,1.59,2024-11-17,2024,11
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,614.03,2022-12-22,2022,12
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,14.45,2020-10-26,2020,10
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,1.05,2023-07-10,2023,7
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,2.6,2025-06-11,2025,6
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,1.26,2022-11-05,2022,11
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,91.42,2025-06-24,2025,6
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,9.17,2024-06-09,2024,6
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,3.93,2022-07-11,2022,7
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,0.53,2023-12-20,2023,12
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,190.83,2023-10-22,2023,10
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,1.16,2024-01-22,2024,1
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,11.84,2023-12-01,2023,12
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,80.63,2024-08-24,2024,8
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,1.16,2021-01-04,2021,1
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,2.52,2021-08-28,2021,8
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,119.75,2020-11-11,2020,11
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,1.45,2023-10-17,2023,10
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,0.31,2021-02-01,2021,2
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,65.29,2022-05-07,2022,5
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,15.79,2020-07-29,2020,7
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,6.09,2022-06-14,2022,6
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,1.61,2022-10-25,2022,10
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,1779.73,2023-08-24,2023,8
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,922.99,2022-08-18,2022,8
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,35.42,2024-01-29,2024,1
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,1.02,2024-06-13,2024,6
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,420.59,2023-03-23,2023,3
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,1.73,2023-03-14,2023,3
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,13.75,2022-11-05,2022,11
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,0.91,2020-05-18,2020,5
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,3.67,2021-12-22,2021,12
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,1039.88,2020-05-09,2020,5
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,8.68,2024-07-27,2024,7
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,2.75,2024-06-25,2024,6
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,15.33,2022-10-15,2022,10
NextStack,Media,Content,Mumbai,A91 Partners,Series A,47.63,2024-08-11,2024,8
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,13.31,2024-01-09,2024,1
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,60.8,2021-07-16,2021,7
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,1.73,2020-10-19,2020,10
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,7.17,2025-04-28,2025,4
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,12.04,2022-12-20,2022,12
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,20.9,2022-03-03,2022,3
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,0.63,2020-10-04,2020,10
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,538.88,2023-01-31,2023,1
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,1786.23,2022-11-07,2022,11
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,1.5,2023-03-18,2023,3
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,3.79,2024-01-08,2024,1
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,75.9,2023-10-24,2023,10
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,0.22,2020-04-23,2020,4
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,0.2,2021-04-06,2021,4
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,1.01,2023-07-04,2023,7
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,10.68,2023-04-04,2023,4
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,11.36,2025-04-26,2025,4
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,11.5,2025-05-13,2025,5
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,46.1,2022-09-18,2022,9
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,1.45,2022-01-28,2022,1
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,1.5,2020-07-17,2020,7
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,1185.49,2025-03-27,2025,3
NextSense,Mobility,EV,Kolkata,Accel,Growth,4428.45,2022-10-15,2022,10
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,6.4,2020-04-13,2020,4
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,7.37,2021-06-25,2021,6
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,3.64,2021-08-14,2021,8
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,0.56,2025-06-19,2025,6
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,12.86,2022-04-02,2022,4
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,94.6,2022-11-21,2022,11
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,42.89,2022-11-04,2022,11
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,0.43,2020-08-12,2020,8
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,10.92,2024-01-17,2024,1
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,1001.03,2022-02-17,2022,2
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,0.17,2021-10-04,2021,10
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,634.39,2024-02-15,2024,2
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,3.15,2020-12-20,2020,12
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,54.05,2021-01-28,2021,1
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,252.98,2023-11-14,2023,11
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,1.39,2025-06-30,2025,6
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,5.74,2022-06-24,2022,6
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,1.0,2024-02-26,2024,2
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,1.38,2021-11-07,2021,11
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,1253.28,2021-08-11,2021,8
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,48.21,2024-01-20,2024,1
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,162.6,2022-03-24,2022,3
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,49.26,2020-08-07,2020,8
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,3.38,2020-08-18,2020,8
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,53.81,2024-06-07,2024,6
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,449.34,2022-11-21,2022,11
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,1.1,2021-05-23,2021,5
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,16.07,2023-03-19,2023,3
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,616.13,2022-08-11,2022,8
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,123.42,2025-04-10,2025,4
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,92.94,2023-05-25,2023,5
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,917.03,2023-10-25,2023,10
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,7.79,2024-08-24,2024,8
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,2.65,2021-02-24,2021,2
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,39.59,2023-02-18,2023,2
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,31.5,2020-04-02,2020,4
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,0.85,2021-01-03,2021,1
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,4.38,2023-10-30,2023,10
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,1.17,2025-06-27,2025,6
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,0.88,2022-02-15,2022,2
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,953.33,2022-05-08,2022,5
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,0.8,2020-03-09,2020,3
